,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,Animal,Behavior
1614,0.0235,-0.0078,0.954,0.5396,0.0782,1.3685,-0.2268,-0.0156,0.7898,-0.086,0.1408,0.8133,-0.1017,0.0782,0.8367,0.1408,0.0,1.2277,-0.1877,0.0313,0.8055,-0.0782,0.0,1.0088,-0.0469,-0.0078,0.9071,-0.1017,-0.0078,1.0166,0.1955,0.0782,1.2199,0.0391,0.0391,1.0713,0.1408,0.1408,0.6412,-0.0704,0.0313,0.9619,-0.6647,0.172,1.392,-0.6725,0.1799,0.9306,-0.219,0.0156,1.2356,-0.1642,-0.0313,0.954,-0.1017,0.0938,0.9228,-0.1095,0.1095,1.1261,0.4536,0.1329,1.5171,0.3832,0.1017,0.6803,0.1251,0.0704,0.7898,-0.219,-0.2033,1.1339,-0.3519,-0.1173,0.7742,-0.1877,-0.1408,1.0557,-0.1408,-0.086,0.9931,0.0078,-0.0156,0.7664,0.0,0.0704,1.0792,0.2659,-0.0156,1.1417,0.1955,-0.305,0.8446,-0.0391,0.2111,0.8915,-0.4066,0.1173,1.1261,0.0547,-0.0782,1.0635,-0.0469,-0.0391,0.7898,-0.086,-0.086,0.868,-0.086,-0.1017,0.8837,-0.1017,-0.086,0.9306,-0.1408,-0.0469,1.1183,0.0469,0.0547,1.1495,-0.0704,-0.2737,0.7116,-0.1486,-0.1095,1.0244,-0.2346,0.1408,1.0713,-0.0938,0.1173,1.0635,-0.0938,-0.0626,0.8133,-0.0547,0.0235,0.9619,-0.0704,0.0313,0.9697,-0.086,0.0,0.9853,0.0782,-0.0391,1.1574,-0.5083,0.0938,1.0792,ARF014,Sweep
1617,-0.3128,-0.1329,0.9384,-0.4379,0.0938,0.4692,-0.5474,0.2268,0.6569,-0.5161,0.172,0.6803,-0.6725,0.3988,0.7742,-0.3832,0.219,0.9619,-0.2424,0.172,0.9775,-0.2111,0.1017,0.9697,-0.2268,0.1017,1.3138,0.219,0.0547,1.2043,-0.1329,0.1564,0.8602,-0.3519,-0.0704,1.0244,-0.4145,0.0235,0.9853,-0.2972,0.0938,0.9228,-0.5396,0.172,1.0479,-0.2815,0.1251,1.2668,-0.1955,0.1642,1.0792,-0.2111,0.1877,1.0479,-0.1486,0.172,1.001,-0.0078,0.2111,1.0948,0.1329,0.3363,1.3607,-0.1251,0.1955,0.6178,-0.4223,0.1564,0.7664,-0.2033,0.2581,0.8055,-0.1251,0.1799,0.7273,-0.172,0.1408,0.8211,-0.1329,0.0704,0.9775,-0.1564,0.0938,0.9071,-0.1408,0.1017,0.9619,-0.1095,0.0547,0.954,-0.1251,0.0782,1.0166,-0.086,0.0469,1.0948,0.2268,0.0469,1.0322,-0.0782,-0.0704,0.8758,-0.2033,-0.0313,0.9697,-0.1564,-0.1095,0.5552,-0.1486,-0.3441,0.6803,-0.2581,-0.0938,0.9462,-0.3754,-0.0782,0.9697,-0.4457,-0.0469,0.8837,-0.3675,0.0235,0.9071,-0.3441,-0.0704,0.9853,-0.5787,0.0,0.8367,-0.6021,0.0,0.8055,-0.5318,-0.1564,0.8367,-0.6412,-0.2659,0.9619,-0.8367,-0.0938,0.6178,-0.5005,-0.3597,0.9697,-0.7429,-0.2111,0.9775,-0.5787,-0.391,0.7351,ARF014,Sweep
1619,0.4223,0.3284,1.2825,0.3128,0.2033,1.1261,0.2424,0.1486,0.9306,0.1799,0.1564,0.8915,-0.086,0.2111,1.0244,-0.0391,0.1877,1.0948,-0.1173,0.172,1.0166,-0.0782,0.1408,0.9775,-0.1799,0.1408,0.9306,-0.1877,0.1095,0.9462,-0.1095,0.0782,0.9228,-0.1173,0.0704,1.0088,0.1877,0.0547,1.1808,-0.2033,0.1095,0.6882,-0.5474,0.0938,0.9462,-0.4457,0.1564,0.9384,-0.3988,0.1642,1.5014,-0.1329,0.1564,1.2747,-0.1173,0.1017,1.001,-0.1173,0.0782,0.9853,-0.0156,0.1408,1.2903,0.2893,0.0469,1.3998,0.172,0.0782,0.6647,-0.219,0.0391,0.8915,-0.3832,0.1095,1.0792,-0.2581,0.172,1.1965,-0.1329,0.0938,1.1026,-0.1017,0.1564,1.1183,-0.1173,0.1017,1.0244,0.0391,0.1408,1.1574,0.3597,0.1486,1.3059,-0.0782,-0.0313,0.8602,-0.3206,-0.0469,1.0479,-0.1095,0.0235,0.868,0.1564,-0.0547,0.9931,-0.0547,0.0156,0.6882,-0.1251,-0.0313,0.7664,-0.1877,-0.0078,0.8602,-0.1017,0.1173,0.9071,-0.1642,0.1564,1.0401,0.1564,-0.0235,1.173,-0.1486,0.2033,0.6725,-0.4223,0.2424,0.9462,-0.1251,-0.0235,0.7273,-0.0626,0.2737,1.1417,-0.1329,0.1486,0.7898,-0.2111,0.2581,1.259,-0.0782,0.1877,1.1104,-0.1486,0.1877,1.0088,-0.0704,0.1955,1.1104,ARF014,Sweep
1620,0.0391,0.2972,0.8367,0.0313,0.3832,1.1339,0.0078,0.3284,0.9853,0.0313,0.3284,0.9384,0.0156,0.5005,0.9462,0.0704,0.4692,1.0557,-0.0078,0.219,0.6725,-0.1329,0.4066,0.7507,-0.2581,0.2815,0.9228,-0.1955,0.3128,0.9306,-0.1642,0.4301,1.1183,0.0391,0.3128,1.0792,-0.0313,0.2424,0.9462,-0.1173,0.2424,1.001,-0.086,0.2268,0.9306,-0.1955,0.2815,1.0557,0.0156,0.2502,1.1495,-0.1408,0.2033,1.0713,-0.3284,0.2659,0.7664,-0.2346,0.3363,0.954,-0.1877,0.1408,0.8915,-0.3206,0.2111,0.8993,-0.477,0.172,0.8055,-0.4927,0.2111,1.0088,-0.305,0.1486,0.9697,-0.1799,0.1173,0.9775,-0.0938,0.1329,0.9619,-0.0704,0.1486,1.0244,0.0391,0.1017,1.1104,0.2111,-0.0469,1.0635,0.0626,0.086,0.8758,-0.0704,0.2815,0.7507,-0.3519,0.2502,0.9619,-0.3597,0.1877,0.782,-0.2033,0.2424,0.6569,-0.1877,-0.0469,0.8211,-0.2111,0.2815,1.0479,-0.1486,0.2268,1.0713,-0.1955,0.1564,1.0244,-0.086,0.1095,0.9384,-0.1329,0.1251,1.0948,0.1799,0.0626,1.2199,0.0313,-0.0156,1.0166,0.0078,0.1095,0.7116,-0.1486,0.0938,0.8055,-0.0782,0.0782,1.173,-0.2581,0.0704,0.6803,-0.1642,0.0547,0.9619,-0.0938,0.086,0.8837,-0.1095,0.0469,1.0401,ARF014,Sweep
1623,0.0938,-0.0156,0.8837,0.0235,-0.0704,0.8915,0.1408,0.0469,1.001,0.0704,0.0156,0.9228,0.0704,0.0391,1.001,0.1017,0.0626,0.9384,0.0704,0.0391,1.0401,0.4145,0.1095,1.345,0.2502,0.0704,0.9384,0.172,-0.0391,0.9931,0.086,0.172,0.8289,-0.1955,0.1799,1.4858,-0.0313,0.1642,1.4311,-0.0313,0.1877,1.1026,-0.0469,0.1486,1.1104,-0.1173,0.1329,1.1183,0.3363,0.0626,1.2512,-0.0391,0.1329,0.8211,0.0547,0.2268,0.9853,-0.9071,0.1642,1.1417,-0.5318,0.1173,1.1495,-0.305,0.172,1.2981,-0.1877,0.1251,1.2825,-0.1564,0.0782,1.0322,-0.1095,0.0078,0.9384,0.0,0.0469,1.0401,0.305,0.0704,1.2981,0.219,0.0938,0.6256,-0.1642,0.0782,0.8915,-0.5943,0.0782,1.2903,-0.2581,0.0782,1.087,-0.2346,0.1251,0.8446,-0.2111,0.0469,0.9071,-0.2737,0.0626,0.9306,-0.2424,0.0078,0.9775,0.0078,0.0078,1.2668,-0.1017,0.0547,1.259,-0.0235,0.1173,0.8289,-0.0469,0.0547,0.8602,-0.172,-0.1486,1.2199,-0.4066,-0.1095,0.7507,-0.0078,-0.1408,1.087,-0.0547,-0.0313,1.001,-0.0938,0.0313,1.0557,0.2972,-0.0078,1.3372,-0.1173,-0.0313,0.954,-0.0938,0.1017,0.7273,-0.1799,0.1251,0.8133,0.0156,-0.0156,0.8133,-0.2737,0.0938,0.696,ARF014,Sweep
1624,0.2581,0.1173,1.2356,0.1642,0.1173,1.2277,0.1329,0.0782,0.9306,-0.1329,0.1251,0.9384,-0.0313,-0.0313,0.9619,-0.2502,-0.0078,1.0088,-0.1877,0.0313,1.1808,-0.0626,-0.0156,0.9697,-0.2111,-0.0626,0.9853,0.1564,0.0235,1.3372,0.172,0.0235,1.2434,0.1017,0.0391,0.7585,-0.0547,0.0235,0.9071,-0.2424,0.0078,1.0244,-0.2972,-0.0078,0.7742,-0.1095,-0.0704,1.0088,-0.1408,-0.0235,0.8289,-0.0938,-0.0235,0.9384,0.0078,0.0469,1.1886,0.1955,0.0704,1.3372,0.1642,-0.0078,0.5865,-0.1017,-0.0782,0.7429,-0.3754,0.0235,0.8993,-0.4692,0.0391,1.0401,-0.2111,0.0235,0.9853,-0.2268,0.0626,0.9931,-0.1642,0.0391,1.0166,-0.0782,-0.0469,0.9619,0.172,0.0235,1.1339,0.2737,0.0547,1.1652,0.1486,0.1251,0.7194,-0.0547,0.0078,0.9775,-0.2033,0.1408,1.0401,-0.1329,0.1877,1.2747,0.2033,0.0938,1.1261,-0.1095,0.0626,0.9697,-0.1408,0.0313,1.0166,-0.0782,0.0704,1.0401,0.0626,0.0547,1.173,-0.0078,-0.1173,0.9462,-0.2111,0.0938,0.7273,-0.3988,0.0626,0.8915,-0.8837,0.0704,1.4389,-0.5083,0.1251,1.3372,-0.2737,0.1017,1.1965,-0.1408,-0.0313,1.1261,-0.1408,-0.0078,1.0948,-0.1017,0.0704,1.2043,0.0547,0.0156,1.3372,0.0547,0.086,1.1495,ARF014,Sweep
1626,-0.2815,0.1095,0.8055,-0.2659,0.0469,0.7664,-0.5396,0.0782,1.0401,-0.4145,0.0704,0.9697,-0.6647,-0.0782,0.9228,-0.5083,-0.0078,0.8758,-0.5239,-0.0547,0.8211,-0.4536,-0.0547,0.9149,-0.2659,-0.086,1.1026,0.0547,0.1017,1.1026,-0.1642,0.086,1.0322,-0.3754,-0.1877,1.0088,-0.4379,-0.1408,0.9697,-0.3441,-0.1329,0.8289,-0.61,0.0469,0.8993,-0.6021,-0.0547,0.9228,-0.61,-0.0235,0.8915,-0.5552,-0.0156,0.8758,-0.4614,0.0235,0.8993,-0.2815,-0.0078,1.1965,-0.1486,-0.0156,1.4232,-0.1095,0.0469,0.9931,-0.2737,0.1564,0.9306,-0.5943,0.0469,1.1652,-0.2737,0.0938,1.0635,-0.1329,0.0547,1.0244,-0.1173,0.0782,1.001,-0.1251,0.1329,0.9853,-0.0547,0.0782,0.9697,-0.1017,0.0704,1.0401,0.3363,0.1095,1.1574,-0.4301,0.0313,0.6725,-0.305,0.1799,0.7429,-0.2268,0.1486,0.7742,0.0313,0.1329,0.9697,-0.1251,0.0782,0.9071,-0.1329,0.0313,1.1417,-0.0938,0.0313,1.0322,-0.1017,0.0,1.0322,-0.1017,0.0235,1.0479,0.1408,0.0235,1.259,-0.1095,0.086,1.1339,-0.2581,0.0469,1.0635,-0.2268,0.0,0.9697,-0.2111,0.086,0.9619,-0.3206,0.1564,1.0792,-0.0704,0.0626,0.868,-0.0313,0.0782,0.9306,-0.0235,0.1017,0.9462,0.0078,0.1017,0.954,ARF014,Sweep
1627,-0.0078,0.0938,0.954,0.0078,0.1095,1.001,0.0626,0.0469,1.1104,-0.3832,0.0313,0.9931,-0.5709,0.0938,0.9775,-0.2502,0.1564,0.7664,-0.2346,0.1564,0.6178,-0.1095,0.2424,0.9228,-0.5865,0.1877,0.8289,-0.4301,0.172,0.8993,-0.3675,0.1408,0.8915,-0.2972,0.086,0.9853,-0.1877,0.172,0.9931,-0.2346,0.1329,1.0166,-0.1799,0.1017,0.9697,-0.1251,0.1173,1.0244,-0.0782,0.1799,1.2747,-0.0078,-0.0704,1.0401,-0.0782,-0.1642,0.8367,-0.2659,0.1173,0.9462,-0.219,0.219,0.8133,-0.1251,0.2502,1.1417,-0.0704,0.3675,1.2043,0.1486,0.2033,1.0635,-0.0469,0.1877,0.8993,-0.086,0.1173,0.8993,-0.219,0.1251,0.9619,0.0938,0.0626,1.2043,0.1564,0.1173,1.259,0.0704,0.2424,0.7742,-0.1095,0.1486,0.8446,-0.1173,0.086,1.1808,-0.3363,0.0938,0.6334,-0.2581,0.1564,1.0088,-0.1329,0.0782,0.9931,-0.1017,0.0547,1.173,0.0547,0.0235,1.345,-0.2659,0.1017,0.782,-0.1408,0.0078,0.6803,-0.5161,0.0626,0.8211,0.0235,-0.219,0.8524,-0.1486,-0.1486,0.6803,-0.1329,0.0235,0.9384,-0.172,0.0156,0.9462,-0.1486,0.0156,0.9462,-0.172,-0.0391,0.9775,0.172,0.0235,1.1026,-0.3128,-0.0782,0.9931,-0.0938,0.1799,0.7976,-0.6647,0.2268,1.173,ARF014,Sweep
1629,0.3441,-0.1095,1.1652,-0.086,-0.1251,0.9462,-0.0313,0.1017,0.8602,-0.1955,0.1486,1.1026,-0.1095,0.0626,0.7742,-0.2972,0.0078,0.9619,-0.2424,-0.1564,1.2199,-0.0938,-0.1642,1.0401,-0.1564,-0.0704,1.1104,0.3988,-0.0156,1.3372,-0.1251,-0.1329,1.0088,-0.0938,0.0782,0.8055,-0.1017,0.1329,0.9228,-0.8367,0.0235,1.1026,-0.5865,0.0469,0.8524,-0.305,0.0078,0.7742,-0.2737,0.0,0.868,-0.086,0.0156,0.9462,-0.1486,0.1173,1.1026,0.3832,0.2424,1.4232,0.2815,0.0078,0.6882,-0.2033,0.0156,1.001,-0.305,0.0704,0.7742,0.0156,0.1408,1.1339,-0.0156,0.1877,1.1417,-0.0235,0.172,0.954,-0.0782,0.0391,0.9853,-0.1408,0.0782,0.9853,-0.0469,0.0704,0.8758,-0.086,0.0782,1.173,0.5474,0.2033,1.4311,0.5787,0.0704,0.6647,0.1564,0.0547,0.7664,-0.1564,0.086,0.9306,-0.2581,0.0782,0.7273,-0.2346,0.2033,1.0322,-0.1877,0.1564,0.9775,-0.1877,0.1095,0.9697,-0.1486,0.0704,1.0401,0.2033,0.086,1.0948,0.0235,-0.086,0.8915,-0.2893,-0.0156,1.2512,-0.61,0.4066,1.1495,-0.5318,0.2737,0.9384,-0.3284,-0.0235,0.954,-0.3832,0.1642,0.868,-0.2972,0.1799,0.8446,-0.1955,0.1877,0.7585,-0.2737,0.2268,0.7742,-0.391,0.2346,0.782,ARF014,Sweep
1632,0.2033,0.3363,0.8837,0.4066,0.1877,0.8211,0.3206,0.1642,0.9853,0.3363,0.1877,0.8915,0.3284,0.219,0.8993,0.3128,0.2424,0.9149,0.3597,0.172,0.9306,0.3441,0.0626,1.001,0.2346,0.0156,0.9149,0.3206,0.0078,0.8758,0.3206,0.0,0.8758,0.2815,0.0391,0.9149,0.2737,0.0391,0.9306,0.305,0.0782,0.8602,0.4301,0.1251,0.7742,0.4457,0.1095,0.8289,0.1486,0.0391,1.1495,0.1799,-0.0156,1.0557,0.1173,-0.0156,1.0635,0.2581,-0.0547,0.9306,0.4145,-0.0235,0.9071,0.4066,-0.0156,0.9149,0.4536,0.0547,0.7194,0.4692,0.0782,0.7429,0.4457,0.0547,0.8289,0.4379,0.0078,0.8993,0.4066,-0.0391,0.8602,0.477,-0.0078,0.7351,0.5083,-0.0313,0.7664,0.5239,-0.0391,0.8133,0.61,-0.172,0.8446,0.4927,0.0313,0.8055,0.4223,-0.0235,0.782,0.477,-0.0626,0.9071,0.4379,-0.0156,0.7664,0.4145,-0.0078,0.6725,0.5005,0.172,0.9384,0.5161,0.1329,0.8602,0.477,0.0547,0.8758,0.3988,0.0704,0.8211,0.391,0.0782,0.8289,0.3675,0.1173,0.868,0.5005,0.0391,0.9384,0.391,0.2737,0.8446,0.4536,0.0704,0.9071,0.4927,0.0704,0.8524,0.4614,0.1251,0.8289,0.5552,0.0,0.8367,0.4927,0.4145,0.7898,0.391,0.0313,0.6882,ARF014,Stand
1633,0.5396,0.0313,0.7585,0.4145,-0.0078,0.6803,0.4536,-0.0078,0.6725,0.3832,0.1408,0.696,0.5552,0.1173,0.868,0.4614,-0.0235,0.9384,0.3832,0.0313,0.8055,0.4145,0.1486,0.8993,0.391,0.1173,0.868,0.3441,0.1329,0.8446,0.5239,0.219,0.9384,0.219,0.0782,0.9228,0.5005,0.2424,0.8446,0.4301,0.2111,0.6491,0.5083,0.2659,0.6334,0.563,0.3597,0.8133,0.4927,0.305,0.7507,0.5943,0.3597,0.7194,0.6021,0.3988,0.7351,0.5474,0.3284,0.5787,0.61,0.3519,0.6021,0.6412,0.4145,0.6412,0.6334,0.2815,0.7742,0.6412,0.3441,0.7116,0.61,0.3754,0.8211,0.61,0.2972,0.7273,0.5552,0.3441,0.6803,0.7273,0.3363,0.7351,0.4536,0.1877,0.7664,0.5396,0.3832,0.7038,0.5709,0.3284,0.5083,0.6803,0.2346,0.5161,0.6803,0.2502,0.5005,0.6725,0.305,0.6178,0.6334,0.1329,0.7116,0.6803,0.1799,0.696,0.6882,0.1173,0.6803,0.6882,0.1408,0.6491,0.6882,0.1799,0.6334,0.6803,0.2033,0.6725,0.6725,0.2346,0.6882,0.6647,0.2346,0.6882,0.6803,0.2502,0.6412,0.6491,0.305,0.6647,0.5396,0.2815,0.8133,0.6725,0.172,0.8367,0.61,0.2268,0.7976,0.5552,0.2111,0.7664,0.5396,0.2111,0.7273,0.5396,0.2659,0.7116,ARF014,Stand
1634,0.4379,0.2581,0.7976,0.2581,0.2424,0.9149,0.3597,0.3519,0.8837,0.477,0.3363,0.954,0.4145,0.2268,1.001,0.2424,0.3128,0.8133,0.086,0.0782,0.8211,0.1251,0.1799,0.9228,0.2659,0.1799,1.173,0.2346,0.219,0.9853,0.1173,0.1017,1.0401,0.1642,0.2581,1.0713,-0.2111,0.0547,0.9697,0.1408,0.0313,1.0557,0.219,0.1799,0.954,0.5318,0.2659,1.1104,0.1564,0.0547,0.9149,0.4927,0.1642,0.9306,0.5396,0.1955,0.7976,0.563,0.2033,0.7429,0.6569,0.2893,0.7742,0.7351,0.4066,0.7664,0.3675,0.2033,0.7116,0.5161,0.1955,0.7742,0.5787,0.2581,0.7116,0.6647,0.2893,0.7429,0.6412,0.4066,0.782,0.5239,0.219,0.5552,0.6882,0.4301,0.5787,0.696,0.4066,0.6647,0.6725,0.391,0.6569,0.8055,0.4066,0.61,0.6803,0.3284,0.5474,0.7507,0.4145,0.477,0.6803,0.2737,0.6491,0.5865,0.4066,0.7273,0.3441,0.2502,0.8524,0.1955,0.3754,0.8524,-0.0156,0.2346,0.8993,-0.0938,0.2424,0.9306,-0.2972,0.0078,0.9228,-0.3284,-0.0391,0.8524,-0.3754,-0.0782,0.8446,-0.3754,-0.0938,0.8446,-0.5396,-0.2737,0.7976,-0.5865,-0.1955,0.8055,-0.6334,-0.3597,0.782,-0.6178,-0.3128,0.7429,-0.6647,-0.172,0.8446,-0.5161,-0.0626,0.8367,ARF014,Stand
1637,-0.0704,-0.3832,0.5709,-0.5318,-0.8758,0.5396,-0.6178,-0.9462,0.4223,-0.3675,-0.6725,0.4614,-0.4066,-0.8055,0.4145,-0.4457,-0.7898,0.3441,-0.6178,-0.8837,0.4927,-0.2424,-1.0401,0.2033,-0.2815,-0.696,0.2815,-0.3597,-0.8446,0.3206,-0.2659,-0.8524,0.3441,-0.4379,-0.7742,0.4066,-0.5787,-1.1574,0.3988,-0.7116,-1.173,0.305,-0.7507,-1.259,0.1095,-0.4536,-0.8367,0.0,-0.391,-0.7116,-0.0626,-0.4223,-0.8211,-0.1017,-0.6256,-1.1417,-0.2581,-0.6803,-1.0557,-0.172,-0.477,-0.9619,-0.0704,0.5239,-0.8602,0.0626,0.1251,-1.2825,0.0235,-0.1251,-0.7585,-0.3206,-0.2033,-1.001,-0.305,-0.0235,-0.8915,-0.3363,-0.0782,-0.8055,-0.2659,-0.0938,-1.0088,-0.219,-0.1486,-1.1183,-0.2581,-0.0782,-0.9619,-0.4536,-0.0391,-0.6725,-0.4536,-0.1642,-0.7351,-0.3128,-0.1955,-0.7898,-0.2424,-0.3988,-0.7898,0.0391,-0.4927,-1.259,0.3284,-0.2581,-0.4536,0.2893,-0.4927,-0.696,0.3128,-0.391,-0.8289,0.4301,-0.4066,-0.8055,0.3519,-0.4066,-0.6725,0.2737,-0.5943,-0.7664,0.2659,-0.2893,-0.4692,0.61,-0.2424,-0.7664,0.6491,-0.3597,0.4066,0.5083,-0.9384,-0.3754,1.0166,-0.6569,0.0235,0.8055,-0.5865,-0.5396,0.5239,-0.6256,-0.5083,0.5083,-0.3832,-0.3363,0.6021,-0.2581,-0.4848,0.6491,ARF014,Dig
1638,-0.2972,-0.5552,0.6256,-0.2424,-0.5239,0.8993,-0.4848,-1.0088,0.7351,-0.7429,-0.5787,0.7664,-0.5943,-0.7976,0.61,-0.3519,-0.8133,0.4927,-0.2424,-0.8211,0.4848,-0.2424,-0.7507,0.4223,-0.1877,-1.0401,0.4848,-0.2893,-1.001,0.477,-0.3441,-0.6569,0.3441,-0.4066,-0.9228,0.1017,-0.2268,-0.8993,0.172,-0.2893,-0.8915,0.2659,-0.1564,-0.7116,0.3363,-0.4457,-1.1183,0.172,-0.4379,-1.2747,0.3832,-0.2346,-1.0401,-0.172,-0.2502,-1.1574,-0.0938,-0.1017,-0.8915,-0.1095,-0.2581,-0.7742,0.0469,-0.305,-1.0557,0.0938,-0.4379,-1.1808,0.0156,-0.5161,-0.9462,0.0469,-0.3754,-0.7742,0.0156,-0.0704,-0.9071,-0.0391,-0.1017,-0.9149,-0.0782,-0.2893,-0.7429,0.1877,-0.4614,-0.7585,0.5083,-0.5396,-0.6725,0.6647,-0.3988,-0.4848,0.7976,-0.1955,-0.477,1.0244,-0.305,0.0078,0.9697,-0.1799,0.1095,0.8602,-0.172,0.5005,0.9149,-0.2737,0.4301,0.7898,-0.3363,0.5709,0.7351,-0.3363,0.7742,0.6412,-0.1877,0.7194,0.6256,-0.2111,0.6256,0.7351,-0.305,0.6178,0.782,-0.3206,0.7351,0.5474,-0.1173,0.5318,0.5787,-0.1877,0.6334,0.5396,-0.4614,0.7898,0.4379,-0.3675,0.563,0.3128,-0.2581,0.6412,0.563,-0.1173,0.6256,0.563,-0.1408,0.8367,0.5396,-0.2268,0.9306,0.4457,ARF014,Dig
1639,-0.391,1.0401,0.4379,-0.477,0.8446,0.477,-0.3206,0.7976,0.305,-0.1095,0.8602,0.4066,0.0,0.8211,0.4692,-0.1955,0.9228,0.5005,-0.4457,0.954,0.3597,-0.4145,1.0322,0.4927,-0.219,1.0401,0.477,-0.0469,0.8055,0.3988,-0.6569,1.0713,0.4145,-0.4692,0.9306,0.1799,-0.4301,0.8993,0.2972,-0.4223,0.9619,0.3128,-0.3284,0.8915,0.3363,-0.4223,1.0088,0.2972,-0.3832,0.5865,0.3519,-0.4614,0.8367,0.3206,-0.3675,0.8367,0.3363,-0.305,0.8524,0.2111,-0.4614,0.8289,0.2581,-0.4145,0.8055,0.3284,-0.4614,0.7507,0.391,-0.4066,0.9619,0.3754,-0.0313,0.9619,0.5709,-0.0469,0.7507,0.8993,-0.305,0.782,0.8915,-0.3519,0.5943,0.61,-0.3284,0.8133,0.8289,-0.2581,0.782,0.8133,-0.6725,0.9853,0.6647,-0.5161,0.7116,0.6334,-0.2581,0.7742,0.8524,-0.2424,0.8289,0.8524,-0.3988,0.7507,0.954,-0.4379,0.8524,0.7976,-0.1877,0.7429,0.8602,-0.1642,0.8367,0.5787,-0.3284,0.7585,0.6334,-0.4536,0.8367,0.477,-0.5709,1.0244,0.4614,-0.61,1.1261,0.2659,-0.5865,1.2747,0.0704,-0.4379,1.1026,0.3128,-0.3519,1.2747,0.1486,-0.6021,1.0322,0.2424,-0.4536,0.8055,0.1173,-0.477,0.6803,-0.219,-0.2268,0.6178,-0.1564,-0.2033,0.7742,0.0704,ARF014,Dig
1640,-0.219,0.8133,0.1486,-0.2268,0.8524,0.0704,-0.5396,0.6647,0.2111,-0.7273,0.8446,0.5083,-0.3832,0.2893,0.6491,-0.2972,0.5083,0.7273,-0.2659,0.4379,0.7976,-0.3988,0.477,0.7976,-0.3441,0.61,0.9462,-0.086,0.4223,0.5474,-0.2659,0.8915,0.7273,-0.4457,0.5865,0.7116,-0.4692,0.477,0.868,-0.3988,0.5005,0.7273,-0.5943,0.477,0.782,-0.3675,0.7038,0.8289,-0.2581,0.7116,0.6491,-0.2268,0.8211,0.4536,-0.1017,0.696,0.3206,-0.2581,0.8133,0.4848,-0.3128,1.1104,0.1799,-0.2737,0.9384,0.3441,-0.086,0.8524,0.3832,-0.2502,1.1339,0.3597,-0.5943,0.954,0.3675,-0.563,0.9384,0.3128,-0.3128,0.8446,0.305,-0.305,0.9071,0.4066,-0.0235,0.9228,0.2659,-0.3832,1.1652,0.1095,-0.5474,0.6412,-0.0469,-0.1408,0.4379,0.0156,-0.1955,0.7273,0.1095,-0.219,0.782,0.1329,-0.2659,1.345,-0.0547,-0.4692,1.0401,0.2893,-0.1955,0.7351,0.172,-0.305,0.868,0.2111,-0.3988,0.9931,0.1877,-0.4145,0.9931,0.391,-0.6803,1.0792,0.5396,-0.4614,0.7351,0.6569,-0.2581,0.8211,0.6334,-0.2033,0.4223,0.7351,-0.1173,0.2346,0.8602,-0.2424,0.2346,0.8524,-0.2502,-0.1408,1.0088,-0.219,0.0078,0.9384,-0.2502,-0.1799,0.9071,-0.3363,-0.2581,0.8837,ARF014,Dig
1641,-0.4927,-0.2659,0.9149,-0.4692,-0.3754,0.8133,-0.4223,-0.6491,0.7116,-0.305,-0.7351,0.477,-0.4301,-0.4927,0.477,-0.2972,-0.9384,0.3754,-0.4145,-0.954,0.3597,-0.5005,-0.954,0.3832,-0.1877,-0.8915,0.2346,-0.5005,-1.173,0.1642,-0.5239,-0.7898,0.3128,-0.1955,-0.5787,0.1408,-0.4145,-0.6569,0.2346,-0.4457,-1.0401,0.1564,-0.4379,-1.1026,0.1642,-0.4614,-0.9462,0.0078,-0.477,-0.9775,0.0547,-0.3832,-0.9619,0.0313,-0.3832,-0.8133,0.0235,-0.2972,-0.8133,0.1642,-0.477,-0.7507,0.3988,-0.4066,-1.0401,0.6803,-0.2815,-0.7116,0.6491,-0.0391,-0.8524,0.0235,-0.3988,-0.9149,0.4145,-0.3988,-0.477,0.4927,-0.2346,-0.4536,0.6021,-0.305,-0.954,0.4223,-0.2111,-0.2346,0.5474,-0.3519,-0.6569,0.2893,-0.2737,-0.4614,0.1408,-0.4692,-1.0713,0.0782,-0.4536,-0.8837,0.0391,-0.3363,-0.8133,0.0313,-0.3363,-0.7507,0.1173,-0.2893,-1.001,0.0626,-0.477,-0.9071,0.1173,-0.6334,-1.1104,-0.0704,-0.61,-1.259,-0.2424,-0.3284,-1.0166,-0.2893,-0.3988,-0.7507,-0.1173,-0.4536,-0.9931,-0.1173,-0.4614,-1.0479,-0.1017,-0.6256,-1.0401,-0.0078,-0.5787,-1.087,-0.0782,-0.2111,-0.9697,-0.2502,-0.2581,-0.8055,-0.1564,-0.3675,-0.8211,-0.0313,-0.61,-0.7507,0.1955,-0.5396,-0.6725,0.4145,ARF014,Dig
